,comment,Org Name,predicted_sentiment
4056,"I felt like I was a burden on the staff, If I asked for help I was told, not now Im busy, ringing the call button for a nurse was mostly ignored, and this is how I saw every other patient in the trauma ward treated too.A guy opposite me was screaming for a nurse for an hour, when one came to do my blood pressure, she said he's getting on my nerves. I had many unbelievable experiences whilst in there for a week. I wrote to express my distaint for what I  had witnessed, I said that  I was prepared to disguss certain incidents further with them, I got the standard letter back that my comments had been noted.. The staff that were on that ward whilst I was there should be absolutley ashamed of themselves, and should not be in the proffession.",John Radcliffe Hospital,negative
171,"everyone was very friendly and did all they could to allay any fears about the operation. Afterwards they were most kind and caring.  I couldn't fault them. I have had a number of minor operations requiring an overnight stay and have always found it to be the same, whichever ward I was on.",Alexandra Hospital,positive
10444,"The standard of care was second to none, the nurses where always checking on me and could not do enough to make my stay in hospital as happy as any stay in hospital could be. Even the food was nice with a good choice and even various puddings for afters. mmmmmm sausage and mash, my favourite.",St Helens Hospital,positive
13265,"The Hospital is not busy enough to justify the provision of in house catering for visitors, however, the availability of vending machine food and drinks could prove a useful addition.",Wigton Hospital,negative
11049,"My Mum was rushed into Stepping Hill on 13 December and was on the acute medical ward that day then transferred to ward A14.  She was only semi conscious and very poorly indeed.  The staff were incredible - I can't thank them enough.  As she worsened they could not do enough for her.  Her temperature began to drop and her circulation was not good and she was placed on a kind of inflatable mattress that was so soft and a heated 'bear hugger' cover was put on top of her.  She was checked about every 30 minutes which was painful for her, but everyone was so kind and gentle with her, and spoke to her all the time even though she appeared to be completely out for the count.  She died on the Wednesday and I never got to thank the staff on the ward for making her last days as pain-free and comfortable as they possibly could.  We had to wait a while to see the doctor who had written the death certificate, but the doctor was lovely to us and explained everything and answered all our questions.",Stepping Hill Hospital,positive
11337,Am at a loss to find anything,The Cheshire and Merseyside NHS Treatment Centre,negative
3540,I was very impressed with the cleanliness of the hospital. The toilets were clean and fresh and well aired and the restaurant floor was squeaky clean. Well done - it is particularly difficult to keep old parts of the building so clean and welcoming.,Hammersmith Hospital,positive
2954,"Having had an accident at home in the garden, cutting my knee very badly, I was impressed with the treatment and consderation shown to me by the A & E minor unit staff - especially as I understood they had had a very hectic period just prior to my arrival.  The training of the students who also 'helped' with the suturing of the cut was, to the outsider, impressive and good humoured. Having now made a full recovery all I can say is thank you.  Too much criticism is levelled at the operators of the NHS.",Frimley Park Hospital,positive
1731,nothing,Chorley and South Ribble Hospital,positive
5327,"Waiting with my mother, to be called from area Eye G, she twice missed her slot because her name was not called out loudly and clearly enough. This also happened to the person sat next to us.
If I could not hear, with reasonably normal hearing, how is a hard-of-hearing person supposed to cope? This is a serious disability issue, and could be easily remedied by ensuring the name was announced loudly and clearly, and from the same spot each time so hearing-impaired people would know where to look.
After I complained, the nurse called our name wonderfully well!",Manchester Royal Eye Hospital,negative
8708,"The improvement in the diet for patients was striking, sensible, fruit and salads were available, unlike ten years ago. The wards were gleaming.
I was further impressed by the fact that the hospital follwed up my condition to make sure that I was fullt recovered.",Royal Free Hospital,positive
9519,"He was admiited after a severe seizure and was terrified and disoriented. The staff acted quickly to reassure him and make him happy to be there. They enabled him to have a positive first experience of staying overnight, so much so that i was able to leave him and get some much needed sleep! The nurses on the children's ward were very kind and coped with his difficulties very calmly. He is no longer scared of hospital, and has a more positive attitude to
his seizures and hospitals in general.",Russells Hall Hospital,positive
9363,The staff in A&E in the night were really kind and helpful,Royal Shrewsbury Hospital,positive
8227,Patient care and respect for a start.,Royal Blackburn Hospital,negative
11405,"I would like to thank the staff in A and E who looked after me when I was addmitted after collapsing when exiting the lorry i was driving,  although no conclusive results where found the attention the staff gave me was very reasuring. i would especially like to thank the Dr who left no stone unturned and was extreamly proffessional in checking me out. This for me was fortunately not something that happens very often but if it does again i would like to think i would fall under the care of the same staff.

Thank you all very much!

Ryan Talling",The Great Western Hospital,positive
652,"My 13 year old son was admitted on the 26th October and spent 3 weeks in ward 7. The staff were excellent. They could not do enough for us. Even though my son was very poorly and could not have cared less what was done to him, they usd to speak to him and tell him exactly what they were going to do and whatmedicines they were giving him. They also explained to us what they were doing. He had to go into intensive care for 1 night. They were also exccellent. My son is disabled so he needed a lot more care than normal, but te staff on ward 7 were out of this world. They would help change his bed, play with him, explain anything he did not understand etc. Also the doctors were great. Overhaul the experience we had was excellent and I would like to compliment all the staff on Ward 7 as you could not hope to meet friendly, nice, caring nurses who carry out their work to the highest standards. Well done Ward 7 and staff in all areas.",Birmingham Children's Hospital,positive
11142,"This hospital is a mature building, small wards, classic old style.  The service recieved was excellent.  The staff excellent, communication between staff and patient was first class.  The care is excellent.  Other new hospitals with digital tv, swinging doors, talking lifts could learn a great deal from Sunderland Eye Infirmary.  The staff should be very proud of themselves.  Thank you for your care and concern.",Sunderland Eye Infirmary,positive
13277,Please stop taking too much of time. A person suffer from pain not physically but becuase one has to wait for 4 hours.,William Harvey Hospital (Ashford),negative
9632,"My daughter was admitted to Ward C2 on the 5th October after suffering an ashtma attack. I would like to thank all of the nursing staff, ward clerks and Play/Teaching staff for being so professional, kind and caring to our family during our visit. Also to the constant stream of doctors that kept a check on her. Thank you",Russells Hall Hospital,positive
2573,Please add the hospital contact details on this website.,Edenbridge War Memorial Hospital,negative
5008,"On behalf of my father-in-law who was treated in Switherland Ward. The hospital is easily found, reasonably close to the M1 and not far from the A6 which goes thru' Loughborough. Parking is easy and FREE! I found the hospital to be pleasant, airy and very clean. all the staff were freindly and helpful.",Loughborough Hospital,positive
11280,"The surgeon,the anaesthetist, anaesthetist nurse, and other members of the nursing team where professional and informative restating a confident pleasant and friendly environment for the patient .The skills of the nursing staff were quite apparent and appeared to be of a high standard.",Tees Valley Treatment Centre,positive
10557,"I have alawys found the nurses and doctors very good and helpfull. they have always explain everything to me in detail. I have been coming to jimmys since I was twelve and not once in all those years have I had reason to complain, im now forty three. People should be thankful for all the staff that work at St James.",St James's University Hospital,positive
8246,"i had to go to the diabetes unit were i was given first class treatment,great staff work well together.put you at ease from the momment you arrive.",Royal Blackburn Hospital,positive
10416,"the excellent care and treatment given to me by all at the Day Surgery Unit. Everybody that I met from beginning to end was extremely kind, skilful and looked after me really well.  I would especially ask you to pass on my thanks to the surgeon who operated on my hand.  I was fully expecting to have a metal plate fitted, but thanks to his skill that was avoided now enabling me to get better much more quickly.
 
I would have liked to thank him personally before leaving but the opportunity did not arise.  It's made such a huge difference to my recovery and I am very grateful. 
 
Thank you to everyone once again - a brilliant advert for the NHS.",St George's Hospital (Tooting),positive
5378,"the care I received on the CCU after an emergency transfer from Hope Hospital was second to none. I would like to thank all the nurses, but especially young Linsey for her attentiveness.",Manchester Royal Infirmary,positive
2149,"My mother attended the Day Unit on Thursday 8 July.  She is 88 years old.  She attended at the given time and was kept waiting in the waiting area for four hours before her treatment was even started.  She received no care as far as I can establish, despite her obvious age and limited mobility was not even offered a cup of tea.

I intend to make a formal complaint.  I thought this archaic practice of all patients being given the same appointment had stopped.

She was extremely distressed by her experience, a fact recognised by the nursing staff at the end of the day.",Darent Valley Hospital,negative
8673,"i was in the royal free hospital for 10 days from 15thoct-25 thoct  i was treat well and was told everything that was going to happen, I have been trying to find a doctor that was there she was only a triannie her names was katie, i would like to wish  her all the best,I know that it is a big hospital but if anybody can help i would be greatfull if you could pass my e-mail address if it helps i was in ( 6 east ward 6 bed 6) hope that  you can help  than you",Royal Free Hospital,positive
1884,"I also work within targets, and arrange appointments with people, but I never forget that people are not targets and it is them that actually matter.  

I understand that many women appreciate a quick appointment when finding a lump in the breast.  It is very frightening and stressful.  Quick, effecient diagnosis makes a big difference, so of course appointments should be offered as soon as possible.  I am happy to think that maybe someone who needed to be seen may have been seen quicker because I couldn't go at short notice.

However I do not accept that I should be punished because I would muck up the Consultants target.  Now I just have to hope it is not breast cancer instead of being able to find out for sure. Instead of being reassured by the Health Service I pay taxes for, I am stressed and scared.

Patients should be involved in decisions about their care from beginning to end.  That includes being given enough notice of appointments.  If that means having an appointment a week or two ahead, instead of the following day, this should be possible.",Clatterbridge Hospital,negative
2642,"I liked the way I was treated. Doctors and the nurses were all really kind and respectful to me as also to the other patients. The centre was really clean inside and out.Free use to the bedside TV and telephone was welcome.The catering was lovely , the food was fresh and dilicious. The surgeons were brilliant and would reccomed it to anyone!",Emersons Green NHS Treatment Centre,positive
12968,"The parkig was quite an issue. The waiting time was for the initial &quot;emergency&quot; appointment was almost a month, and was then told that I would need further physio.. in the same hospital. The waiting list for this was more than 3 mnths, I was advised that I could be referred to an alternative hospital with a shorter waiting list, to which I agreed. However they forgot to send my referral, so a month down the line Im still waiting for them to write to the &quot;quicker&quot; hospital. Considering the initial appointment was classed as an emergency, it will probably be more than 5 months untill I start my treatment... and even longer therefore, before I am able to return to work.",West Park Hospital,negative
13472,The way the staff treat patients and visitors in the A&E,Worcestershire Royal Hospital,negative
8733,The attitude and behaviour of that junior sister. Someone should have a stern word to her on how she treats student nurses. Either that or she should be sacked. She was not being professional and it didn't look like she respected that student nurse. How would student nurses learn if that junior sister continues to be unconsiderated and disrespectful. There where even times where she was rude to me and my son and didn't seem to have time to talk to us and make us feel comfortable.,Royal Free Hospital,negative
9476,Our baby girl was delivered at the RUH in September 2008.  All midwives involved in the delivery were extremely supportive and helpful - we couldn't have asked for better - thank you.,Royal United Hospital,positive
423,I underwent an abdominal hysterectomy at the beginning of January and all the staff and doctors working on Ward 14 did an exceptional job. It was the time of the terrible weather conditiona and due to the snow some of the nurses stayed to do extra shifts. The standard of treatment didn't alter and I can't thank them enough for their care.,Barnsley Hospital,positive
11944,"my husband was rushed to A & E with an irregular heartbeat.  He was treated immediately and was kept informed as to what was happening and what treatment was being given.  He was then taken to the  cardiac ward where he was also made comfortable.  I was very impressed not only with the care and attention he received but also the cleanliness of the hospital.  I feel that I should add that not only was he given first class treatment, but also both in A & E and the ward, despite being very worried, everyone tried  to put me at my ease.  It was also  explained to me what was happening.  Despite the staff being very busy they offered me a drink in both A & E and the ward which was very much appreciated.  I feel that I could hightly recommend this hospital to anyone.",The Whittington Hospital,positive
10368,"Fast, professional, polite staff. I left feeling calm and reassured without the added stress of trying to get an appointment at a time that was convenient.

I would definitely recommend this service.",St George's Hospital (Tooting),positive
330,is to thank every one for being so brillent and caring from surgans to cleanersthay my stay fantastic,Barlborough NHS Treatment Centre,positive
8893,It is good as it is.,Royal Hampshire County Hospital,positive
10965,"This was the second time i have been rushed in to stafford the first was 6 years ago menigitus staphilochi with is some thing u dont expect at 48 and agin in feb this year with a kidney problem all the staff from docs to cleaners and the cook where out of this world if it was not for there skill i would not be here they changed my life .They wwhere so careing to my wife and family as i was moved between dept such as I.C.T. and high dependense i can never thank them enough The last time i also had MRSA nothing i caught in hospital but my room was cleaned 4 times aday please stop knocking such a wonderfull place THE HOSPITAL IS JUST A BUILDING the people that matter are the people in it and they go a very hard job with compasion and skill 
thank you one and all",Stafford Hospital,positive
13070,"Pain relief given on time
Poor bedside nursing
Cleanliness of toilets
Staff attitudes - seem disinterested in my care and sarcastic
No dignity what so ever.",Weston General Hospital,negative
10461,Much better out-patient care!,St Helier Hospital,negative
7013,"I am member of staff at PAH and work within the Emergency Department.

I have recently had the displeasure of contracting a severe viral infection which affected both of my eyes. 

During this period I have had to visit the Eye Unit on several occasions, first of all to have a diagnosis and commencement of treatment, and then to have regular reviews to assess the progress of the treatment.

I would like to convey my sincere thanks to the Eye Unit and especially Mr Butt who was extremely professional and thorough, genuinely personally concerned about my welfare. And Cathy, the HCA, who works very hard (and has to put up with some very difficult individuals, as I witnessed !) 

Everyone was polite and friendly, and each appointment was prompt.  

Well done Eye Unit, it took nearly four weeks, but I am back to work and better ! 

Thanks
Sarah Lewis",Princess Alexandra Hospital,positive
10346,Staff should get off their backsides and interact with patients. Playford Ward suffers from having a core of lazy staff who pay scant attention to their patients' needs.,St Clements Hospital,negative
3489,"I was in the Rehab/Physio unit discussing my progress with the physiotherapist, when I felt unwell. She immediatelt noticed and took my blood pressure which was very low. A nurse was sent for and then the Doctor came and asked for an ECG. the physio and the Doctor stayed with me while we went to the necessary unit An ECG was taken and all was well.
The Doctor returned to his ward B and we returned to Rehab/Physio. The other members of staff were very concerned and I was not allowed to go until they considered I was fit.
Such caring by all concerned deserves to be praised/ and I have written to Halton Hospital to give them the acknowledge this. If I now had to go into the hospital for treatment, I would have no fears.",Halton General Hospital,positive
11444,"Having been both an out-patient and in-patient for a number of years I rarely, if ever, saw the same consultant more than once. Much time was wasted waiting for a consultant to read notes. The appointments system leaves much to be desired: there seems to be little communication between medical and clerical staff in terms of urgency.",The Great Western Hospital,negative
3042,"Staff were friendly, courteous and very helpful. Both the surgeon and his team made a concerted effort to keep me informed at all times and were very happy to provide additional clarification should it be needed.   I particularly noticed the very good levels of hand hygiene carried out on a routine basis.  Post operative procedure the staff were still attentive and always found time to provide me with an additional cup of tea or sandwich.  Whilst none of us wish to be in hospital I must say my experience of Frimley Park Hospital is nothing but complimentary.  Please keep up the good work and high standards.",Frimley Park Hospital,positive
6848,"An interested approach to questions posed by family members regarding progress with dad.
A better, respectful attitude to requests regarding the loss of denture bridge.It appears by offering a claims form that makes it acceptable to lose personal items. The logistics of getting my dad who has Parkinsons to a dentist are not realistic. It would be appreciated if the Nurses on duty could actually get up from the desk tops that they are sitting on at the Nursing Station and come to the front of the desk rather than  family having to shout their concerns across the area for all and sundry to hear.
A more responsible approach after finding medication not taken on dad's table. A nurse telling us she didn't know what it was, 'it wasn't on her shift'. Not reassuring at all.
I said that dad looked unclean and unkempt to the Deputy Ward Sister. I found him sat on the bed edge without his pyjama bottoms in a confused state. I was informed that dad was fine and I should 'see the state some patients are in at times'! He had faeces on his slippers and I commented that I should take them to wash and yet again was told 'We don't worry because we can't smell them, we only worry when we can! 
I have one positive comment to make and that is I rang to ask after dad and spoke to the Ward Clerk who went out of her way to inform me as full and as best she could to how he had been that day. Very reassuring, informative and seemed to have a better 'bedside manner' than any one of the nursing staff I have spoken to in the last seven days.",Pontefract General Infirmary,negative
3480,I felt I was in the hands of experts and had complete confidence in the opinion and expertise of the medical and nursing team. I also had an entirely pain free excision under local anaesthetic and was virtually unaware anything was being done.,Guy's Hospital,positive
2225,My daughter was admitted to ward 21 with temp and pneumonia she was very poorly the nursing care was exceptional they were very dedicated and thorough. All staff were very kind and gave explanations. I could not fault any member of staff  they were excellant,Darlington Memorial Hospital,positive
12924,"Cant ask for more, all i wanted was to have ma boy checked asap which they did.",West Middlesex University Hospital,negative
1041,"I was impressed with the service in general, particularly the reception staff and the consultant himself. Keep up the good work - very impressed. The staff are very helpful and professional.",Bridgewater Hospital,positive
6772,I have been well looked after in ward 4a the childrens ward for head injurys it is exeptional,Pilgrim Hospital,positive
59,The freindlyness of staff was excellent.I've been in several wards in the hospital even over Christmas and the new year and was always treated with respect by all staff.The food at the hospital was good also.I have been an inpatient now 4 times in the last year.,Addenbrooke's Hospital,positive
2556,"The efficiency, the professionalism, the compassion and the cooperation of all involved right from before my diagnosis through to my ongoing treatment. All staff in Pevensey Ward deal with cancer patients with dignity.",Eastbourne District General Hospital,positive
2609,"My father was taken ill on a routine hearing appointment at the Edith Cavell, he was treated at very short notice, with  more than all the courtesy & dignity I could have expected.nothing was too much trouble for the doctors & nurses .
Thankfully due to the treatmant we were able to leave within an hour.
Once again a big thank you to all
Alan Hobbs",Edith Cavell Hospital,positive
8633,"I was treated with dignity and care.  I was warned that the procedure I was having done was very painful but my experiene at the RD&E was marvellous - I had no real pain, more discomfort - thanks to the skill of the surgeons.",Royal Devon and Exeter Hospital (Wonford),positive
7741,Minor Treatment Center was excellent and the nurses as good as they get.,Queen Mary's Hospital,positive
10985,"i was admitted as an emergency and had surgery within 12 hours and 2 hours later was home.i had choices of surgery options,was treated with respect and informed all the time.i wish to say a big thank you to the staff of a&e and then on the short stay surgery ward.",Stepping Hill Hospital,positive
37,The reception staff were exceptionally helpful and the porter aww very sweet. I came with my mum last year and at the time i needed to read my prayers and the staff went out of their way to let me into one of the rooms to pray. I was so grateful that i bought a card and chocolates (if i remember correctly) to the reception staff!,Accrington Victoria Hospital,positive
5415,The caring and professional approach to all patients from the Consultant downwards. You were treated as an individual which is very important.,Manor Hospital,positive
5465,"My 11 year old son was suffering from anaphalaxis after eating something at a party. The paramedics and ambulance arrived very quickly, within minutes of our call. The ambulance crew were wonderfull. There manner with my son  and me was so reassuring and I found them very responsive to my sons needs.",Mayday University Hospital,positive
6667,"I was in Pembury hospital for the birth of my son at the end of April.  I had a complicated labour and was quite poorly afterwards but thanks to ALL the midwives and health workers, George was given the best start to life possible. The delivery suite team were fantastic.  They looked after me throughout and made me feel at ease.  All the staff on Victoria ward should be commended for their FANTASTIC care.  The healthcare workers are all so lovely and run round patients like headless chickens.  They dont get paid anywhere near the amount they should for the work they do.  The midwives were all so brilliant - I cant thank them enough. On the day we were discharged, I felt v emotional and tearful to say goodbye. A huge thank you.",Pembury Hospital,positive
9900,"My mother has declined rapidly into dementia since January this year.  My sister and I have put out lives on hold to care for my mother and also for my father (both are 85) who is also very seriously ill.  It has not been easy and it is not a situation that I would choose but needs must and our parents had given us a beautiful childhood with little money and lots of love and this is our way to thank them.
My mother is very delicate and is often allergic to things.  On Monday 18th May she called to ca passer by from a window, she told her that we were keeping her there against her will and could she call the police.  The passer by called the police who then called an ambulance.  My mother told them that I was a terrorist and that I was not to be believed.  The ambulance staff said that they needed to take her to the hospital to get her checked over.  The police women said that it was obvious that mom was well cared for but that she was very angry with me and perhaps it was best to get her checked over and let her calm down.  I had sent my dad to his brother for a few hours so I was alone and I didnt know what to do.  I called my uncle who came and went to the hospital with my mom.  I couldnt go near her becuse she screemed at me.  

This was on Friday 22nd May.
My mother is now in Heartlands hospital having had surgery to repair a broken hip.  She broke her hip when she was allowed, dispite me telling them daily, to walk on a zimmer frame alone and she fell.  It was 14 hours before she was x-rayed and it took a phone call to my MP to get her from Solihull to Heartlands 4 DAYS later and for surgery the next day.  All this time my mother was in agony.  During the 14 hours she was undiagnosed she was taken out of bed 4 times and put on a comode.  My aunt had stayed with her from 14.00 until 19.00 and saw all that happend.

I was told last week that my mom probably wont walk again and therefore could not come back home because we could not care for her ""safely"".",Solihull Hospital,negative
4717,"I damaged my wrist so went in to see their minor injuries department. I was seen immediately, treated with care and respect and was very pleased with the overall service. From leaving home to returning home was one hour and that included forty minutes traveling.",Lewes Victoria Hospital,positive
1544,"I had major surgery at a different hospital and needed my staples removed unfortunatly my dr's surgerys nurse was off sick so I had to go to chase farm.  I spoke to reception and they told me to see the sister in A&E when i told her she replied ""I couldnt possibly remove your staples""  How silly I could of done them myself!  Was taken round to fracture clinic and seen very quickly.  When i went in it absolutly stank of urine and feaces!  I was discusted and very worried as i had open wounds.  The nurse that cleaned my wounds used the same swab to clean all of them spreading any potential infection.",Chase Farm Hospital,positive
8273,Everything,Royal Blackburn Hospital,negative
7663,"The staff were v professional and always had my well being as their first priority, from the time I came in, till the went home 12hrs later. I am very grateful for all they have done for me
Thx",Queen Elizabeth The Queen Mother Hospital,positive
7803,"I was on Margaret Duncombe ward.  The treatment received was excellent.  The staff were both professional and friendly, nothing was too much trouble for them.  If you have to go into hospital then Queen Victoria is the place to go to.  A very big thank you to everyone there.",Queen Victoria Hospital (East Grinstead),positive
7660,Everything was first class as far as I was concerned.,Queen Elizabeth The Queen Mother Hospital,negative
5758,"Communication:
Teenage son admitted thru A&amp;E. Following day, care/assessment plan consisting of 4 tests. First test took place on day 3.  In-patient for further 3 days but none of the remaining tests were done in that time. Test 2 took place 13 days after admission. 13 days after the 2nd test (26 days after admission) and still no feedback on findings or recommendations. This is an unacceptable delay and does not show New Cross as a centre for 21st century patient care.",New Cross Hospital,negative
13157,I have been a long term visitor to both Outpatients and Ward 3 over the last 4 years and i can only say what a superb hospital wharefedale is. the staff are second to none and treat you so well. i feel like part of the fixtures and fitting these days but the staff always treat me so well.,Wharfedale Hospital,positive
10566,"In a word CARING! this is the only hospital that i have been into that really cares about me. They made sure that I ate when I was to poorly to do so, they feed me drinks all day. I could only have sips at a time.nothing was to much trouble for the staff.I would recommend this hospital to everyone.",St Leonards Community Hospital,positive
6128,"I found that the permanent staff were overworked, had poor morale and contracted staff did not seem to care.",North Middlesex University Hospital,negative
7185,"I was only a day patient in The Alan Cummings Centre and from start to finish the staff were incredibly kind and the attention from the receptionist, nurses, anaethetist and surgeon who performed my operation were the best.  I was consulted by the surgeon both before and after the operation and was clearly informed on how the operation went and all the after care I should take.

From my first appointment in August to 10th October my operation was all done and dusted so I highly recommend the National Health Service and more importantly would like to thank all the staff within Alan Cummings for their excellent manner.

Cannot fault Princess Royal Hospital and a big thank you.  Highly recommend.",Princess Royal University Hospital,positive
