,comment,Org Name,Department,month,year,predicted_sentiment
10,I was on the emergency two week pathway for investigations for my throat. I cannot speak highly enough of the fantastic care I received from all staff at this hospital. They have responded to my emails and telephone calls swiftly. The staff have kept me up to date with every step of the procedures I have undergone. Warm and very caring staff. The hospital is spotlessly clean. Thank you so much for looking after me. NHS staff are truly amazing. ,RJ121,"Ear, Nose & Throat",March,2024,positive
11,"Took my daughter to the urgent care centre due to her having croup (have done this twice in the past, with appropriate help and medication being given).
Seen by very rude nurse practitioner, belittled me for bringing my daughter in with 'just a cough' and told me I shouldn't be there.  
This is against NICE and NHS guidance, steroids should be given based on description of the symptoms due to croup causing symptoms predominantly at night. 
She should have at the very least given information on what symptoms to watch out for and when to seek medical attention, she has a duty if care to do this as a nurse. Very worrying and disappointing behaviour ",RH5G5,Urgent care centre,March,2024,negative
12,"I had an appointment today with ENT after being seen last night in urgent treatment centre. I was seen at the appointed time exactly, no waiting at all. Friendly staff carried out a procedure on my ear immediately and I was out of the door within half an hour. I'm so impressed with the service and the speed, thank you very much. ",RD304,"Ear, Nose & Throat",March,2024,positive
13,"Having had a disappointing experience with another cataract implant clinic in Leeds, I am very pleased with the treatment I’ve had from SpaMedica in Wakefield. I do have to say I have noticed that there is a slight amount of “starburst” effect but am hoping that this is due to the implant still settling in from surgery, 2 weeks ago and that this will improve with time.",NPG07,Cataract Surgery,September,2023,positive
14,"Today I visited the breast screening ward to investigate a lump. I was so impressed with the professionalism, efficiency and smooth running of the clinic. And the warm friendly approach of all the staff I met. Who were clearly very busy with a packed waiting room. Under the pressure, restraints and volume of patients they see, I was very impressed. What a credit to the NHS this team is!",RAE05,Breast cancer services,March,2024,positive
15,"In summary, I called 111 because I was having headaches, dizziness, and nausea. Paramedics got in touch with me soon after. They recognised that I could get myself to a&e. I felt nauseated, lost my balance while standing, and decided to take a taxi instead. I got to e&e. The doctor advised me to take medication after comparing my symptoms to those from years ago(how come, symptoms persist the same all life, nothing change, don't we get older ? where is profesionality/expertise?). That's it. I was so sick that I could hardly stand on my legs, and this is an e&e excellent practice with talk in news and newspaper ,how NHS save lifes(sorry not everyone)? You saved resources and money in my case, good but you can apply it a a private sector company, not in heath care. If you claim that you provide excellent practice and services then why I did not get it?! Now, in order to check the blood sugar level, if you present to an emergency room with symptoms similar to mine, they must take your blood. Since this will inform you of what comes next. Additionally, an ECG must be performed if you present with symptoms similar to mine. These two actions are fundamental standard protocols that should always be followed in case of emergency. I speak for myself; I don't visit the emergency room to talk, smile, or inquire about a title. They have an obligation to attend. Physicians pledged to save lives. A decent practice is far away from you.",RD304,Accident and emergency services,February,2024,negative
16,"Visited urgent care due to my daughter becoming unwell whilst on holiday in the Cotswolds. Staff were incredible- kind, knowledgeable and friendly. I honestly can’t thank the wonderful nurses and the lovely paramedic on duty enough. We were prescribed medications and also provided with hospital information in the event my daughter deteriorated.
An excellent experience overall- thank you to every member of the urgent care team that helped us today. We are forever grateful. ",R1J06,Urgent care centre,February,2024,positive
17,"I brought my Mum to A & E on Sunday, with her care ultimately being completed by the sdec team.
Everything went very smoothly and she received great and thorough care. From the triage nurse, to the porters and the consultants, we were treated exceptionally well 
",RJL32,Don't know,February,2024,positive
18,"I was admitted to Dandy ward as an informal patient and spent just over two weeks there. I can not praise the staff highly enough, they made time for everybody as individuals and put on activities for groups. Every member of staff was pleasant and polite even when faced with challenging & changing situations treating everybody with the care they needed. The ward was keep clean and tidy by more amazing staff who took the time to remember what certain patients liked to eat and would happily make it for them if they didn't want what was on offer. I am so glad my treatment was here even though I am not from the area as I don't think I could have gone anywhere better or been treated any better by all involved. All the staff there will always have my deepest respect and admiration for being so brilliant in such tough situations. ",RX3NX,,January,2024,positive
19,"Having undergone facial surgery I have the utmost respect and gratitude to the team and consultants, their caring calm and professional manner is second to none, and at a time you need help they have your back.",REF12,Oral and Maxillofacial Surgery,January,2023,negative
20,"I was in extreme stomach pain and was dealt with immediately, treated with respect .kindness and compassion and was given the appropriate treatment.which involved blood and urine tests very quickly then given pain relief and put on an antibiotic drip and a scan was arranged for the same afternoon . I was offered warm drinks / food , blankets and a comfortable chair I could lie down on in a quiet area . There were 3 lovely kind nurses available in the same room keeping a close watch on me and 3 others which was very reassuring . I was diagnosed late afternoon and seen by another doctor and given the appropriate meds to go home . This is the NHS at his best who also saved my husband Bobs life in April 2023 this year after he suffered a heart attack. I really can’t thank you enough you all deserve a medal staying so calm and professional under such  demanding circumstances …Thanks again Barbara Newman ",RJN71,Accident and emergency services,November,2023,positive
21,Visited xray for an Ultrasound Scan of my abdomen. Seen on time and soon put at my ease. I had fasted for 4 hours before the event. The Specialist Doctor and her Assistant completed the scan easily and a verbal report said things were ok. Will look forward to the report!,RXN02,Diagnostic Physiological Measurement,December,2023,positive
22,"I attended A23 Outpatients for an early reassurance scan due to complications in my last pregnancy.  
I just want to give a massive thank you to the sonographer who saw me on two occasions over the past couple of weeks. She was extremely thorough and took so much care to check everything.  
She explained things so well to me and answered any questions I had and I felt nothing was too silly to ask. She did a brilliant job of showing me the screen and what I was looking at. Me and my partner feel so much more at ease after seeing everything is ok.  
I wish I could remember the sonographers name but she really is a credit to the team :) Thank you!",RX1RA,,November,2023,positive
23,"Arriving in accident and emergency. I received excellent care, from caring and able staff. I felt safe at all times and infirmed. Transfered onto l2 the excellent care continued. I experienced nursing staff who demonstrated excellent skills and empathy. Thank you",RM301,Gastrointestinal and Liver services,December,2023,positive
24,There is a total lack of patient care. Complete lack of communication in reference to prescribed medication. Totally obstructive staff leaving me without advice or repeat medication extremely disappointing service,RXQ02,Neurology,September,2023,positive
25,"Sustained head injury with wound. Seen rapidly by navigation nurse and then by ENP who was professional and efficient.

It was by many standards a ""quiet"" nightshift. Regardless it felt efficient and friendly",RRK98,Accident and emergency services,November,2023,negative
26,"I was sent to the surgical assessment unit by my Doctors' surgery Practice Nurse. I had a dangerously distended abdomen which needed urgent attention. I was seen to in what l believe was a reasonable time with great care and understanding before l was moved to a surgical ward  (Stowupland) as an in-patient for some tests and procedures over several days. It was decided that l should really be in the Gastronomy (Stradbroke) ward which took a few more days through a shortage of beds l believe. This period was the most frustrating as l was left in a kind  of ""limbo"" without much information as to my future treatment. After l was eventually transferred things moved at a good pace. Procedures were done, every day an attentive doctor and/or a consultant or specialist came to see me to spend time to explain each step and plan for my treatment. I was dealt with by several departments. CT scans, colonoscopy, radiology and imaging. All of the staff and professionals involved with me treated me with great sympathy, understanding and respect at all times. It was my very first time in any hospital and l was truly impressed by the care and attention l saw, not only for me but for all of my fellow patients...yes even the grumpy ones! Thanks to all who knew of me during the four-and-a-half weeks l was there, and thanks for your help during a most difficult  time. I think l made a few people cheerful as they did me. My problem isn't solved yet but fingers crossed.",RDE03,Don't know,October,2023,negative
27,"My Grandson was born with talipes to one foot and the foot was quite badly twisted.  He has visited the Orthopaedic Dept at Stoke every Thursday for the past 7 weeks and his foot is now perfectly in place and at the correct angle.  The Consultant and nurses have been absolutely fantastic and have supported my daughter and son-in-law through the process.  For new parents, this could have been all very upsetting but the way they have been treated has made the experience a positive one.  It could have been very different.  
My Grandson has just been fitted with his little boots (he looks like he's going ski boarding!) but, at only 10 weeks old, he's well on the way to 2 perfect feet.  
There is so much negativity towards the NHS but we are so thankful that my Grandson's treatment started when he was 2 weeks old and it was such a positive experience.  We are very lucky to have free expertise and staff of such calibre on our doorstep.  Thank you to the Consultant and all the team.  ",RJE01,Orthopaedics,November,2023,positive
28,"I received an appointment for Orthopaedics. I was seen by consultant, his manner and treatment to me just wonderful..... explained everything, extremely courteous! very gentle when manipulating my arm and then very quickly organised various courses to take to determine how to proceed.
Extremely impressed.
Nurses are caring and the whole department has a very happy atmosphere.
Well done Burton Orthopaedic Department...you are a department that needs to be emulated in other hospitals.




",RTG02,Orthopaedics,November,2023,positive
29,The staff were so wonderful and I was throughly dealt with. Very kind Doctors. Scans and blood tests all done. Good atmosphere too. ,RYJ01,Accident and emergency services,November,2023,negative
30,When I was referred by my GP to the Insomnia Service Team I was very sceptical about any benefit I might receive from the referral.  However following online videos and telephone calls from a team member I am now very positive of the whole experience.  I received helpful advice and coping tips which have improved my sleep greatly and have enabled me to reduce my dependence on sleeping pills.  I am managing the sleep situation rather than it managing me.  If you are struggling with your sleep I would recommend you ask for a referral to the Insomnia Team.,RA201,Sleep Medicine,November,2023,positive
31,I turned up for my retuximab infusion only to be turned away because I'd had a covid booster 2 weeks ago. I was not aware of this and apparently I'm not the only person this has happened to. I've waited 3 months for my appointment. Maybe a head's up on the appointment letter would be a good idea. ,RTRAT,Rheumatology,November,2023,negative
32,Waiting far too long for my elderly mother in excuriating pain in her stomach and violently sick to be seen by a consultant. The consultant couldn’t do a full examination as no space and not even the basic of a bed to be examined on. The consultant was polite at all times but couldn’t do the basics of examining my mother. Still waiting in A and E 12 plus hrs in a cubicle in her wheelchair in agony to wait for a bed on a ward. Also looked dirty too. ,RXF05,Accident and emergency services,October,2023,negative
33,I had an appointment today at 13.10 I arrived at 12.30pm for my appointment in good time. I quickly noticed lots of people going in before me which is fine so I decided after an hour wait from my appointment time booked to ask why I’ve not gone in and was told they couldn’t give me a time and were running late.  I informed them they should have put the lateness on their whiteboard for people to see how late they were running. I couldn’t stay any longer and have had cancer so will no doubt have to wait ages to get in again I’m not happy ,RXN02,"Ear, Nose & Throat",October,2023,positive
34,"I want to thank every member of staff in the unit. I’ve never met more caring, lovely and wonderful nurses, doctors and health care assistants in my life. They all made my very emotionally distressing and painful experience of a miscarriage so much easier and all managed to put a smile on my face. They are all a true credit to the NHS and Worcester hospital",RWP50,Gynaecology,October,2023,positive
35,"First time I visited and used Newark Hospital and the experience was excellent.
Everyone I came across seemed happy, which is a very rare occurrence these days and my examination and experience with both the nurse on duty and the Consultant was brilliant -  was being seen in the Gynaecology Department.
The Hospital was nice and clean; I was actually seen ahead of my timed appointment.
I would highly recommend Newark Hospital and huge thanks to everyone for making my visit so good",RK5HP,Gynaecology,October,2023,positive
36,"Would like to thank all staff for their care and attention looking after my daughter and grandson. All staff ere attentive and proffersional from cleaning staff, doctors, midwives and security staff. Thank you.  ",RXWAT,Maternity services,October,2023,positive
37,"My GP referred me for a knee x ray. I was given a code. Expectation ""long wait"" Reality ""wow"" I checked in at 8.20am and was leaving the car park by 8.45! Great, efficient and friendly Service",RPA02,General Surgery,August,2023,positive
38,"I was referred to North Middx hospital for a dermatology 2ww appointment. The appointment came through and was held at a GP surgery in Ponders End, Enfield.
The surgery were very unhelpful on arrival as to where I needed to go as clinic was nothing to do with them. The Dr I saw was fine but his assistants didn’t seem interested or listening to Drs instructions when being asked to take photos.",RAPNM,Dermatology,August,2023,positive
39,"Incredibly attentive and welcoming experience from the whole team for my scheduled appointment. 
The whole experience from start to finish was second to none
What a lovely, professional and caring team who made me feel so special and valued. 
Smooth efficient procedures right from making my appointment, my check in on arrival, person centered treatment and after care .
I felt like I was receiving a private service 
A big thankyou to you all for looking after me",RJN71,Diagnostic Endoscopy,March,2023,negative
40,"I was impressed by the courtesy and promptness shown to me, right from the reception to all the nursing staff and operatives. They were very patient and understanding with the situation of people aged 80 (+). In spite of the current  pressures on the NHS, their  diligence and forbearance were remarkable. My sicere gratitude!",RJ611,Diagnostic Endoscopy,September,2023,positive
41,"had suspect heart attack   on the 19 august 2023 phoned 111 they dispatched ambulance they arrived in 30 minutes totally professional put me at easy straight away,taken to accident and emergency deptment you can imagine saturday evening was very busy i was well treated by ,admin, triage ,xray, doctors .and cardiologist, thank you so much for the care you gave me,                                                                                           ",C9K7A,Don't know,August,2023,positive
42,"Want to compliment lovely Main Entrance receptionist , kind nurse from ward 16 who helped me find ECG team. 
Appointment was timely and well organised.
Technician was friendly, professional and polite. She wasted no time during ECG investigation.
Special thank you to administrator who made neurodivergent ppl friendly letter and highlighted key information on it. Much appreciated and helpful. ",RWEAE,Cardiology,August,2023,positive
43,"went to burnley hospital had polyps removed on 04/08/2023  and everyone from the cleaners and domestics and receptionists nurses doctors consultants were so helpfull and kind and caring and from my arrival and first  seeing the receptionists it was only 5 mins later that a nurse took me to the endoscomy ward she was so kind and helpfull she answered all my questions to perfection giving me so much useful information I told her I did not want any pain relief or sedation she said if I wanted or needed any pain relief or  gas and air  I could still have it in case I changed my mind, then when I was in theatre she sat by me and held my hand and she kept me so reassured and feeling safe asking if I was OK then the doctor who performed the endoscopy was so brilliant I never asked for or needed any pain relief or sedation or gas and air because  I was never in pain and the only discomfort was when he put c02 in its like feeling bloated and feeling like you need to pass wind  I think the c02 is so he has more room to take out the polyps and see everything more clear, and as I watched everything he was doing on the big tv monitor it took my mind of any discomfort and it helped  the time go by so quickly then after I was took to the ward and given a nice cup of tea and a nice sandwich then another kind nurse told me everything I needed to know and about things like how there could be blood leaking for a while from the procedure but if there is a lot like half a cup full I would need to ring some contact numbers  and she gave me even more really good advice as well,  so anyone having any doubts about having any polyps removed please go to burnley hospital you will be treated like a friend rather than just a number I am 71 years old and been to many hospitals like preston royal and chorley but burnley is by far the the best by a country mile so thank you burnley hospital  for really caring about my feelings of trepidation and making me feel safe and treating me like a friend may God bless you all for the wonderful kindness and  service you gave to me I wish you all good health and happiness in your precious lives for the years ahead kind regards jimmy",RXR10,Diagnostic Endoscopy,August,2023,negative
44,"When Imaging Suite B was eventually found the experience was fine considering the temporary accommodation. However, the signage to the area is completely incorrect. Having followed the signs around the left hand side of the building to find the path was completely fenced off, I retraced my steps to the other side of the construction work but found myself in the back of an area with no access through fire doors. Returning to the main hospital entrance there was noune at the reception desk so found another staffed desk and was informed that the Imaging suite was around the other side of the building i.e. to the left of the main building rather than the right as directed by the signage. As it is I am able bodied but this could be most distressing for someone with limited mobility.",RVJ21,Diagnostic Imaging,July,2023,positive
45,Great staff. Wonderful doctor. A really wonderful efficient service.  Thoroughly recommended.  Fabulous alternative to an and e. ,RWH20,Urgent Treatment Centre,July,2023,positive
46,"Attended for a procedure I had been fairly apprehensive about, and nurses assisted and welcomed me in on my mobility scooter (even jokingly offering a cup of coffee!). The doctor clearly explained the procedure which was completed very professionally in what felt like only a few seconds! Very grateful and very impressed!",RQXM1,Urology,July,2023,positive
47,"My husband recently, was admitted to the hospital via a 999 call. He has advanced Dementia and is non verbal. 
The care and understanding we received from the paramedics, the Pit Stop, Emergency and Acute medical ward and ward 9b, over a six day period, was exemplary! 
Given the horrendous conditions they have to work in in the A and E department, I applaud them all. I was so impressed with their professionalism and have nothing but the highest admiration and heartfelt thanks to each and every one of them. ",RTE03,Accident and emergency services,July,2023,positive
48,"
I wish to leave a review for the CCU bay on  Bolton Ward and the Cardiology/ Pacemaker departments,
I was admitted as an emergency late afternoon  from A&E on Monday  12/6/23 suffering from breathlessness . The care I received in this unit was fantastic, everything explained to me as events took place.from , the machinery I was hooked up to, to the procedure that would help me. The consultant,  saw me on Tuesday morning and explained I needed a pacemaker which he would insert on Wednesday morning. 
I was then visited by the pacemaker team, shown the  device and the procedure explained. Following the procedure I immediately felt the benefit.
I was discharged on Thursday.  What  a brilliant team and result for me!!
",RCD01,Cardiology,June,2023,positive
49,"My baby was unwell with a rapidly deteriorating viral illness. Within 2 hours of making contact with the GP surgery, we had been phoned, reviewed in person and admitted to the paediatric ward. Staff were polite, kind and caring at all stages of our journey and we were confident that he was in the best hands. As well as providing safe care, the staff looked to attend to our comfort as a whole family unit and I had confidence in their care.",RH880,,June,2023,positive
50,"Reception: friendly and helpful 
Clinic: For a regular clinic, which can have the feel of a production line at times, all staff were welcoming, efficient and informative. I felt relaxed in their clinic. Thanks.",RGN80,Dermatology,June,2023,positive
51,"I travelled a long distance to visit my mother who is an inpatient (and is being looked after very well - thank you).   It would have been very  convenient if there were some rapid chargers for EVs on the site.  That way, my car would have charged whilst I was visiting.  As EVs are becoming more common, this situation will occur more frequently.  I'm not asking for a free resource, and would anticipate that any such facilities would pay for themselves before too long.  Thank you.",RF4QH,General Surgery,February,2023,positive
52,"Tuesday am - e-consult then appointment with a useless clinician that can't refer me to the breast clinic so sends me to qmc a&e 
Tuesday am- 6 hours in a&e only to be told they cant refer me out of hours so to go back to GP in the morning 
Wednesday am - Back to an actual Gp who puts in a referral to Breast Clinic for same day treatment
Wednesday pm -City Breast clinic confirm appointment for 2 days later (Friday)
Thursday am - 11.30am Off to Kings Mill with a now ruptured abscess
Swabs- done
Bloods- Done
IV antibiotics - Done
Drained and cleaned - Done
Redressed- Done
Referred to and seen by Breast surgeons same day and back Monday for further treatment once antibiotics have taken effect 
and still back home in time for the kids!!!!!!!!!!  ",RK5BC,Accident and emergency services,May,2023,negative
53,Visited today and received excellent care by the staff in the a&e department was seen straight away the nurses and doctors were lovely ,RXK02,Accident and emergency services,April,2023,positive
54,"I was camping at Ripon and had stitches on my outer ear before my holiday but they weren’t dissolving as they should so went along to the hospital and asked if they could help me , amazing staff very friendly and took the stitches out I can’t thank you enough for your help , 5* service ",RCD02,Urgent care centre,May,2023,positive
55,I was at the day surgery clinic for an ACL operation. The staff were incredible. They really helped me wherever they could. I was then admitted over night unable to do anything myself including going to the toilet. They made me feel totally at ease and comfortable in such a traumatic situation. Thank you too all staff and the surgons for there help.,RW604,Day treatment services,February,2023,positive
56,"Attended pain Management with the consultant,  who was excellent in explaining, took time and patience with me. 
So very kind, supportive and in his guidance and advice I genuinely know he wants the best for me in terms of treatment.
The whole department work together as an excellent team and the nursing staff care, and are efficient. I would recommend pain management clinic Preston. They are incredibly helpful and kind. Thank you for all your hard work, with me and my complex health problems.  ",RXN02,Pain Management,April,2023,negative
57,"Had my routine breast screening on a Sunday late afternoon. 
I cannot praise enough the lovely staff for looking after my wellbeing and working hard on a Sunday late afternoon probably to clear the backlog. The nurse/radiographer was very polite and helpful from the moment of my arrival and during the procedure and she proved to be very calm and professional working under pressure due to some hiccups on the management/appointments department side. Excellent service Excellent way to deal with the pressure. Big thank you to the whole team and NHS",RYJ02,Imaging services,April,2023,negative
58,"I visited the hospital for the first time today. I rang a couple of days ago to check arrangements for disabled parking & was told there were designated places & it was free to park. There are only 4 or 5 places, I parked in one of a block of 2. These were at the far side of the car park, this being the longest distance to the main entry doors. On returning to my car I prepared to leave, expecting to find instructions on how to get out. I parked near to the pay machine (I can't walk very far). There were no instructions at the pay point as to how to get out of the car park, another lady was there in a similar position to me. We both decided to just pay in the normal way, she managed to do this however it wouldn't take either of my cards. A man pulled up next to us to ask if he could help, we told him the problem. He also had a blue badge & told us he had gone through the same rigmarole. He had gone back inside the hospital to ask for help, he told us you have to take your ticket to someone to remove the charge. I walked back & was given a new 'free' ticket. The system is fine but why aren't the instructions clearly displayed? I find walking very painful & yet, as a disabled person I had to walk 2 or 3 times further than able bodied people to find out how to get out. I wouldn't have minded paying, I just needed easier access to my car due to my disability. Instead I had to walk much further causing me pain which will take 2 or 3 days to subside. I got out in the end but please, somebody put some instructions up - at both pay points & at strategic areas in the hospital. In future I'll park in a normal spot close to the entry doors & just pay. ",RXF10,Don't know,March,2023,negative
59,"All of the team were excellent. I was first of the day and everyone was cheery, confident and put me at ease. All felt efficient and effortless. I was offered food and drinks and I was monitored closely while coming round and up to being discharged. I was given clear discharge instructions and everyone I encountered made a very anxious patient have a really pleasant experience. Thank you!  
My only tiny niggle is that both the bulb in the lamp and the light bulb above my bay didn't work so it was a little bit miserable waiting in a darkened space but a very minor issue.",RWDDA,,February,2023,positive
60,"I lost my right leg 20 years ago to vascular disease. Last October I was advised that my left leg would require an above knee amputation and that my pain level will decide when it would proceed. I was told I would have a review approximately every 4 months. As you can imagine I am quite keen to not miss these appointments. Today I received a letter admonishing me for not attending an appointment on 22nd February 2023, an appointment I didn't know I had!  
The last time I was at the clinic I was told I would receive a letter initially and then a reminder closer to the date. I didn't get a letter or any reminder (the NHS has 5 ways to contact me, phone, post, email, text and the NHS app).  
My GP has a copy of the non attendance letter and I'm left feeling that I've done something wrong and I feel guilty because the vascular teams at Bournemouth Hospital and Poole Hospital have been so good to me over the years.  
In my opinion the biggest failure here is the NHS app. In this digital age people use these as a primary contact point and they really need to be up to the task.  
Anyway that's me.",R0D01,,December,2022,positive
61,"This was our 3rd time for our son to have an operation. The children’s ward is fantastic, knowing what’s coming by the 3rd visit he likes it so much it’s like a day out. Everyone is so friendly and caring. The team down in theatre are second to non and they deserve the biggest praise of all, to see your child laughing, having fun and completely unaware before being put to sleep is so comforting. Everyone we have met on all 3 occasions have been brilliant and although it’s far from where we live, I don’t mind not using our local hospital as knowing how good the service is here I’m happy to return. ",RWDLA,Children's & Adolescent Services,February,2023,positive
62," I experienced excellent service today, I had two investigations and saw the doctor twice, all in 40 minutes. Everyone I met was friendly, helpful and caring. Thank you",RQWG1,Breast cancer services,February,2023,positive
63,"In terms of professional care of the highest standard ,this is what greeted me to day at the Tralisk hospital.Every member of the team from special arrangement for car parking,I amnot mobile ,to reception ,provision of wheel chair ,the pre med team,to the hands on procedure medical ,the multi racial team were all for one and one for all, where the patient is number one.The hospital slogan is we care ,every body lived up to and beyond  .This  made receiving an enema  and camera up the bottom almost dignified.Also thank you to the line management for their leadership as team leaders,some thing to be proud of.",REF12,Diagnostic Endoscopy,February,2023,positive
64,"I was admitted for a vascular procedure, this was my second time in this amazing hospital. 
I have to compliment the staff, in helping me in my recovery. 
They have been very professional.
Pre and post procedure has been perfect. 
Thank you to all involved. 
Hans",NW605,Don't know,January,2023,positive
65,Staff were very welcoming and organised everything efficiently .Good follow up care as i had a slight problem after Surgery and i would highly reccomend this practice ,NCR06,Cataract Surgery,January,2023,positive
66,"My dad was transferred to ward d5 from another ward. Ward was closed due to infection but they allowed us in as dad was poorly. The staff were wonderful, caring and supportive. They were happy for us to help at meal times and repositioning my dad. The ward itself is in the old part of crumpsal. Walking the corridor feels similar to being on set of 'Call the midwife'. The wards are old but kept clean. The care from nurses, health staff and Dr was very good!&nbsp;",RW602,,May,2022,negative
67,"Had to take my husband to a&e after he collapsed in Asda store and we were blown away at the fantastic service we received from everyone. Doctors,nurses, receptionist, volunteers they all went above and beyond and nothing was a problem. This is the second time I’ve left a glowing review for this hospital but had to say well done for being so fantastic especially after the hard work of covid. Well done all of you and you all deserve 10 stars. ",RTF86,Accident and emergency services,December,2022,positive
68,"My back tooth broke on holiday in late October. Went to my dentist who sent an appt request to dental hospital as injections don’t work on me. To cut a long story short, following calls to 111 and another visit to my dentist plus two lots of antibiotics I rang the hospital for an emergency appt. I was told that I would be on a waiting list for about 4 months. I’ve got an abcess, a very sharp tooth which keeps cutting my tongue and am in terrific pain. I now have earache and a sore jaw. I have not had a Proper nights sleep for weeks. This is disgraceful.",RTD04,,October,2022,positive
69,"End of last year i had a wrist opporation and chose to have a block instead of a general anaesthetic. After i had been given a full unhurried explanation of what a block entailed by the anethatist, and given ample time to think about it. My decision was based on the confidence i felt in their professional ability and trust in their enthusiasm and competencey in this proceedure,  I would highly recommende it. It was a positive experience and i felt very looked after. Also not to have the side effects from a general anaesthetic after was a big bonus.",RAJ01,Orthopaedics,November,2022,negative
70,"Wanted to say a big thank you to the fantastic staff in the Endo department. Had a procedure here today, and everyone was outstanding and made everything so easy and comfortable. Keep up the good work.",RATJC,Don't know,December,2022,positive
71,"I would like to express my utmost gratitude to one of the A&E doctors (North Manchester General Hospital) who provided me with an excellent and impeccable care.
",RW602,Accident and emergency services,December,2022,negative
72,I was very pleased with the way I was looked after from start to finish the staff are very good and care for you all the time.,RJE01,Endocrinology and Metabolic Medicine,November,2022,positive
73,The doctor was extremely rude and unprofessional. He didn’t listen to the patient at all and just wanted me to say yes or no to his questions. A key function of being a doctor is to listen to patients and then provide appropriate advice. This doctor just didn’t listen and I don’t trust his advice at all. I wouldn’t recommend this ent service to anyone.,RXF05,"Ear, Nose & Throat",December,2022,negative
